"subject" "activity" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"18" "STANDING" -0.630947459700599 -0.665011683643713 -0.630947459700599 -0.665011683643713 -0.73320719751497 -0.723788786335329 -0.693434577904192 -0.760315278287425 -0.84851863011976 -0.879781879790419 -0.673154380637725 -0.713137798532934 -0.720747618404192 -0.729163423712575 -0.802962549161677 -0.775670438287425 -0.875441210479042 -0.894709025422156
"20" "STANDING" -0.56833411675101 -0.614326377454545 -0.56833411675101 -0.614326377454545 -0.663144565966667 -0.626302305960101 -0.581261642571717 -0.626155662129697 -0.730864782378788 -0.707476828521212 -0.603443252690404 -0.683038764726768 -0.621138091371919 -0.635841381332323 -0.653958606511717 -0.673230720494949 -0.718871385552626 -0.713768868169192
"22" "STANDING" -0.353264495414634 -0.469146190154634 -0.353264495414634 -0.469146190154634 -0.484983543582927 -0.457667435430488 -0.530408052165854 -0.58616042178374 -0.723727568292683 -0.768258152845528 -0.439651188565854 -0.572895500055285 -0.453431441817886 -0.468314812693496 -0.642492204065041 -0.621511307308943 -0.773520124878049 -0.779661007398374
"23" "STANDING" -0.532754757205108 -0.56557562579215 -0.532754757205108 -0.56557562579215 -0.58640067170914 -0.55872531418629 -0.544207964433387 -0.541949073660753 -0.623412641977151 -0.573942888021613 -0.529029284118011 -0.657048917971505 -0.542663319457527 -0.583832309145968 -0.534657191683602 -0.632288527203763 -0.584111049810215 -0.593735302105376
"25" "STANDING" -0.583377749713936 -0.659015505611247 -0.583377749713936 -0.659015505611247 -0.783445354474328 -0.780451867848411 -0.625733064258924 -0.68515279467066 -0.849630706259169 -0.872776184449878 -0.69501971 -0.695367928718826 -0.779190075892421 -0.783547229755501 -0.754236109755501 -0.697213120366748 -0.875970674743276 -0.877714953691932
"26" "STANDING" -0.600932264175765 -0.620355788665816 -0.600932264175765 -0.620355788665816 -0.694917859209184 -0.677426336392347 -0.694597662936224 -0.751833690215051 -0.798325916709184 -0.818279112908163 -0.6317569828625 -0.673917799546684 -0.679278323637755 -0.678025758312755 -0.770504884821429 -0.782624320831633 -0.823865297193878 -0.823991408418367
"27" "STANDING" -0.980278693846154 -0.973689910897436 -0.980278693846154 -0.973689910897436 -0.990332891538461 -0.990626418974359 -0.966683888076923 -0.973304104615385 -0.994198412051282 -0.993732153205128 -0.978168563846154 -0.974775499230769 -0.990108465769231 -0.990060928461538 -0.980589148974359 -0.97322665025641 -0.993693021410256 -0.993907993589744
"1" "WALKING" -0.453632943768818 -0.497096402038329 -0.453632943768818 -0.497096402038329 -0.545431612066571 -0.515922167555159 -0.475404785802305 -0.499839593745821 -0.639517432642651 -0.652050770910663 -0.478448523354179 -0.589710231217867 -0.499075765624092 -0.541823079570029 -0.535002770337752 -0.566576670397695 -0.645970655298847 -0.685811262634006
"2" "WALKING" -0.535281800541722 -0.552812545643709 -0.535281800541722 -0.552812545643709 -0.58777744543543 -0.512115278415232 -0.614771054893146 -0.680584887880795 -0.746559539039735 -0.740088733655629 -0.514569861316887 -0.646662308457285 -0.509746432970861 -0.518800797709272 -0.699742945221854 -0.725310337688742 -0.751615078360927 -0.744194981440397
"3" "WALKING" -0.563140802770059 -0.591224780306452 -0.563140802770059 -0.591224780306452 -0.650182434328446 -0.607658214170381 -0.643150121648094 -0.674010290979472 -0.784056656246334 -0.80366136372434 -0.579076453758064 -0.663079838985044 -0.604752108072727 -0.615643694857361 -0.716822144279179 -0.703839403007038 -0.810085498651026 -0.810032718739003
"4" "WALKING" -0.637532979814948 -0.670122122716495 -0.637532979814948 -0.670122122716495 -0.72234055742268 -0.71024608685567 -0.708221087886598 -0.749105473365979 -0.849581355824742 -0.870579517938144 -0.668273665958763 -0.724979750463917 -0.702045896773196 -0.723261097164948 -0.785172936701031 -0.769330760360825 -0.86760194427835 -0.884187806804124
"5" "WALKING" -0.460866415568709 -0.52162345171192 -0.460866415568709 -0.52162345171192 -0.589313870006622 -0.589031268133113 -0.602770284825828 -0.664078383532781 -0.707383517582782 -0.734187493344371 -0.528503022745033 -0.594259529756954 -0.573176177044172 -0.613485123609272 -0.677355755703311 -0.715731148145695 -0.748829309536424 -0.735610602483444
"6" "WALKING" -0.619147950475381 -0.626787109835169 -0.619147950475381 -0.626787109835169 -0.701327652220339 -0.659452354576271 -0.690488145614407 -0.722636443516102 -0.780046966228814 -0.79820274690678 -0.631495453982373 -0.682816079716102 -0.652860664036017 -0.669980860496186 -0.73860950399661 -0.760907236300847 -0.802472022627119 -0.807005713601695
"10" "WALKING_DOWNSTAIRS" -0.384739666615641 -0.44358190387041 -0.384739666615641 -0.44358190387041 -0.474897326746876 -0.416276937898718 -0.412441627912821 -0.541830959732991 -0.670402026880342 -0.714863988119658 -0.407807233704274 -0.552739646816667 -0.398398451363248 -0.446280697635769 -0.585222602952991 -0.593770651726496 -0.713252357820513 -0.737951108418803
"12" "WALKING_DOWNSTAIRS" -0.613018446822043 -0.621456341182258 -0.613018446822043 -0.621456341182258 -0.684974084575269 -0.636898344297849 -0.66459948788172 -0.715896647204301 -0.807753381612903 -0.817815795430108 -0.617897670354839 -0.682955169813979 -0.638505427183871 -0.636955052134409 -0.752048340967742 -0.742461579639785 -0.819220973494624 -0.829129754193548
"14" "WALKING_DOWNSTAIRS" -0.29092762277541 -0.321676687545492 -0.29092762277541 -0.321676687545492 -0.487984706926639 -0.483221887802828 -0.245124405807746 -0.317377464295082 -0.608256767676639 -0.645034678692623 -0.33954605254918 -0.419458109257787 -0.472519023106762 -0.501922233672951 -0.408328310255328 -0.377012934062787 -0.632288075747377 -0.689381172221311
"15" "WALKING_DOWNSTAIRS" -0.527285352000488 -0.557147874176037 -0.527285352000488 -0.557147874176037 -0.654799694757531 -0.625660376546646 -0.617721779796037 -0.675336960047866 -0.805282669512195 -0.837120078079268 -0.562948391223628 -0.623655618198171 -0.614817605125915 -0.643101167069512 -0.732394493841463 -0.695346839682927 -0.83680189402439 -0.849634463841463
"16" "WALKING_DOWNSTAIRS" -0.616131116889044 -0.661719690491803 -0.616131116889044 -0.661719690491803 -0.725246870486339 -0.719647028238525 -0.718168775628415 -0.78482286579235 -0.860446372459016 -0.87480016568306 -0.666962508246721 -0.712680990765301 -0.713167613706148 -0.729869398769672 -0.81712881920765 -0.802078223409836 -0.87277228273224 -0.886533212213115
"17" "WALKING_DOWNSTAIRS" -0.97810887125 -0.97465493875 -0.97810887125 -0.97465493875 -0.992407460833333 -0.991481431666667 -0.979459900833333 -0.980494326458333 -0.994575164583333 -0.99273415625 -0.981396533333333 -0.974433710625 -0.991203280625 -0.990655515625 -0.985919111875 -0.98029209625 -0.993130339166667 -0.992490134583333
"4" "WALKING_UPSTAIRS" -0.441789745892683 -0.50629736504065 -0.441789745892683 -0.50629736504065 -0.551665062753089 -0.547890232756098 -0.574385249590244 -0.639915777398374 -0.771259192195122 -0.802559941951219 -0.497723469494309 -0.590882542479675 -0.529301794643089 -0.576991683357724 -0.683314955211382 -0.674631635121951 -0.793458132276423 -0.829831474634146
"6" "WALKING_UPSTAIRS" -0.0554082692382022 -0.104608866786517 -0.0554082692382022 -0.104608866786517 -0.153888888820225 -0.0879004446179775 -0.175624994910562 -0.201180788774157 -0.202676039247191 -0.23683550005236 -0.0562800368966292 -0.274171341966292 -0.0759734389325843 -0.11028850707236 -0.156240715516854 -0.382816980159551 -0.252582563561798 -0.270829337453146
"7" "WALKING_UPSTAIRS" -0.511312036747403 -0.510669879158539 -0.511312036747403 -0.510669879158539 -0.622815767680292 -0.550560230585714 -0.581899897967532 -0.598670795839286 -0.713191348337662 -0.658017844948377 -0.518323878824675 -0.583819796092208 -0.553360009658182 -0.550683254908442 -0.628877272791136 -0.650923648207792 -0.668879188156396 -0.668963362464935
"8" "WALKING_UPSTAIRS" -0.468522592843416 -0.554038979266192 -0.468522592843416 -0.554038979266192 -0.534248616612028 -0.564471999961566 -0.476214943826192 -0.581422885341281 -0.673625525658363 -0.715838385516014 -0.512106792856939 -0.651638076286121 -0.529244911130605 -0.618027414911032 -0.609984289180071 -0.636673891144128 -0.70215621546726 -0.755717299964413
"9" "WALKING_UPSTAIRS" -0.505183470509188 -0.553038255314792 -0.505183470509188 -0.553038255314792 -0.621608245092361 -0.608862145384722 -0.550201866572569 -0.663198385034722 -0.7629795809375 -0.786176892048611 -0.553186448295139 -0.624456827182986 -0.609193721940625 -0.611619343190972 -0.700863097986111 -0.697729432621528 -0.786473954201389 -0.801296292638889
"10" "WALKING_UPSTAIRS" -0.9617663145 -0.942239747 -0.9617663145 -0.942239747 -0.978933889 -0.970288294833333 -0.948394682666667 -0.946460267166667 -0.984314541333333 -0.979257408333333 -0.951348618666667 -0.946976321166667 -0.970436012833333 -0.969339341333333 -0.958964957333333 -0.94776606 -0.980438270333333 -0.978997537333333
"11" "WALKING_UPSTAIRS" -0.542825032813608 -0.612882270912658 -0.542825032813608 -0.612882270912658 -0.679819504547468 -0.664241760370253 -0.628367851066456 -0.696771378957911 -0.826829028481013 -0.866905012626582 -0.611528074359177 -0.674470159009494 -0.656133473274684 -0.676925075857595 -0.757585939588608 -0.711267219682278 -0.864827011392405 -0.879254016740506
"14" "WALKING_UPSTAIRS" -0.954651726708861 -0.944706586962025 -0.954651726708861 -0.944706586962025 -0.982660079367089 -0.981714665063291 -0.945647504556962 -0.94746971556962 -0.98548876278481 -0.980252790253165 -0.958267383037975 -0.946119101012658 -0.981048938227848 -0.981486919873418 -0.959072824810127 -0.949080940126582 -0.981054587341772 -0.980403827721519
